ID = KCPR,TMP ° F,SKNT mph,GUST mph,DRCT °
10-1-2015 8:53 MDT,57.9,3.5,,280
10-1-2015 7:53 MDT,53.1,0,,
10-1-2015 6:53 MDT,51.1,0,,
10-1-2015 5:53 MDT,52,0,,
10-1-2015 4:53 MDT,52,0,,
10-1-2015 3:53 MDT,53.1,5.8,,240
10-1-2015 2:53 MDT,50,3.5,,260
10-1-2015 1:53 MDT,48.9,8.1,,300
10-1-2015 0:53 MDT,51.1,9.2,,300
9-30-2015 23:53 MDT,57,11.5,,290
9-30-2015 22:53 MDT,66.9,10.4,20.7,300
9-30-2015 21:53 MDT,63,4.6,,250
9-30-2015 20:53 MDT,57.9,8.1,,210
9-30-2015 19:53 MDT,59,0,,
9-30-2015 18:53 MDT,66,4.6,,200
9-30-2015 17:53 MDT,73.4,6.9,,200
9-30-2015 16:53 MDT,80.1,10.4,,220
9-30-2015 15:53 MDT,79,10.4,,220
9-30-2015 14:53 MDT,79,11.5,21.9,230
9-30-2015 13:53 MDT,78.1,11.5,,210
9-30-2015 12:53 MDT,73.9,8.1,,220
9-30-2015 11:53 MDT,72,13.8,,230
9-30-2015 10:53 MDT,68,6.9,,180
9-30-2015 9:53 MDT,61,10.4,,220
9-30-2015 8:53 MDT,55.9,6.9,,240
9-30-2015 7:53 MDT,50,9.2,,240
9-30-2015 6:53 MDT,48,9.2,,240
9-30-2015 5:53 MDT,46.9,9.2,,250
9-30-2015 4:53 MDT,46,10.4,,260
9-30-2015 3:53 MDT,45,8.1,,240
9-30-2015 2:53 MDT,46.9,6.9,,260
9-30-2015 1:53 MDT,46.9,6.9,,250
9-30-2015 0:53 MDT,46.9,3.5,,220
9-29-2015 23:53 MDT,50,3.5,,260
9-29-2015 22:53 MDT,50,4.6,,330
9-29-2015 21:53 MDT,54,5.8,,40
9-29-2015 20:53 MDT,53.1,3.5,,50
9-29-2015 19:53 MDT,61,0,,
9-29-2015 18:53 MDT,,,,
9-29-2015 17:53 MDT,75,8.1,,100
9-29-2015 16:53 MDT,78.1,3.5,,
9-29-2015 15:53 MDT,75.9,4.6,,
9-29-2015 15:30 MDT,75,6.9,,180
9-29-2015 15:02 MDT,77,8.1,,250
9-29-2015 14:53 MDT,73,6.9,,
9-29-2015 13:53 MDT,,8.1,,220
9-29-2015 12:53 MDT,,9.2,,200
9-29-2015 11:53 MDT,,9.2,,200
9-29-2015 10:53 MDT,,,,
9-29-2015 9:53 MDT,59,11.5,,210
9-29-2015 8:53 MDT,57.9,10.4,,230
9-29-2015 8:28 MDT,55,5.8,,240
9-29-2015 7:53 MDT,54,4.6,,230
9-29-2015 6:53 MDT,54,3.5,,230
9-29-2015 6:37 MDT,54,3.5,,260
9-29-2015 5:53 MDT,54,4.6,,280
9-29-2015 5:11 MDT,54,5.8,,300
9-29-2015 4:53 MDT,54,4.6,,280
9-29-2015 3:53 MDT,55,0,,
9-29-2015 2:53 MDT,55,3.5,,190
9-29-2015 2:46 MDT,55,3.5,,180
9-29-2015 2:29 MDT,55.9,5.8,,
9-29-2015 2:15 MDT,55.9,6.9,,70
9-29-2015 1:53 MDT,55.9,5.8,,70
9-29-2015 1:21 MDT,55.9,5.8,,60
9-29-2015 0:53 MDT,55.9,10.4,,80
9-28-2015 23:53 MDT,55,11.5,,50
9-28-2015 23:34 MDT,54,9.2,,20
9-28-2015 22:53 MDT,53.1,8.1,,20
9-28-2015 22:43 MDT,52,8.1,,10
9-28-2015 21:53 MDT,52,9.2,,20
9-28-2015 20:53 MDT,55,6.9,,10
9-28-2015 19:53 MDT,59,15,,70
9-28-2015 18:53 MDT,64,12.7,,90
9-28-2015 17:53 MDT,70,10.4,,90
9-28-2015 16:53 MDT,71.1,6.9,,190
9-28-2015 15:53 MDT,70,10.4,,180
9-28-2015 14:53 MDT,66,8.1,,220
9-28-2015 13:53 MDT,63,8.1,,190
9-28-2015 12:53 MDT,57,13.8,,170
9-28-2015 11:53 MDT,50,10.4,,190
9-28-2015 10:53 MDT,50,8.1,,210
9-28-2015 10:20 MDT,51.1,0,,
9-28-2015 9:53 MDT,52,12.7,,340
9-28-2015 8:53 MDT,54,8.1,,40
9-28-2015 8:17 MDT,52,5.8,,360
9-28-2015 7:53 MDT,51.1,6.9,,20
9-28-2015 6:53 MDT,50,0,,
9-28-2015 5:53 MDT,51.1,11.5,,10
9-28-2015 4:53 MDT,51.1,9.2,,360
